Client;Sex;Age;Tenure;Count_CA;Count_SA;Count_MF;Count_OVD;Count_CC;Count_CL;ActBal_CA;ActBal_SA;ActBal_MF;ActBal_OVD;ActBal_CC;ActBal_CL;flow_CA;TransactionsCred_CA;VolumeDebCash_Card;VolumeDebCashless_Card;VolumeDeb_PaymentOrder;TransactionsDeb_CA;TransactionsDebCash_Card;TransactionsDeb_PaymentOrder;Sale_MF;Sale_CC;Sale_CL;Revenue_MF;Revenue_CC;Revenue_CL
1;0;51;7;1;0.0;0.0;1.0;0.0;0.0;1333.8028571428572;0.0;0.0;0.0;0.0;0.0;-16.92142857142835;23.0;250.0;283.0892857142857;247.6071428571429;30.0;3.0;9.0;1.0;0.0;0.0;26.97267857142857;0.0;0.0
2;1;43;152;1;1.0;0.0;0.0;0.0;0.0;110.76857142857143;13326.190357142856;0.0;0.0;0.0;0.0;318.4928571428572;3.0;307.1428571428572;38.40714285714286;35.714285714285715;6.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0
4;1;24;153;1;1.0;0.0;0.0;1.0;0.0;1599.8407142857145;76.43714285714285;0.0;0.0;1110.3817857142856;0.0;-1776.3607142857138;4.0;714.2857142857143;526.0375;1963.1653571428567;36.0;6.0;13.0;;;;;;
5;0;58;200;1;1.0;0.0;0.0;0.0;0.0;5353.483928571428;8079.715714285715;0.0;0.0;0.0;0.0;-1067.6346428571428;14.0;157.14285714285714;832.1750000000001;1779.571428571429;41.0;4.0;13.0;;;;;;
6;0;24;19;1;0.0;0.0;0.0;0.0;1.0;4.297142857142857;0.0;0.0;0.0;0.0;1982.0710714285717;18.750714285714366;2.0;357.1428571428572;0.0;0.0;6.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
7;0;55;227;1;0.0;0.0;0.0;0.0;0.0;879.6850000000001;0.0;0.0;0.0;0.0;0.0;288.46071428571423;2.0;17.857142857142858;69.15107142857143;10.714285714285714;10.0;1.0;1.0;;;;;;
8;0;64;30;1;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;326.9692857142857;0.0;0.0;3.571428571428555;21.0;253.57142857142856;6.982142857142857;0.0;24.0;10.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
9;0;33;182;1;0.0;0.0;1.0;0.0;0.0;510.1664285714286;0.0;0.0;0.0;0.0;0.0;4.085714285714175;4.0;53.57142857142857;0.0;170.71428571428572;7.0;1.0;3.0;;;;;;
10;0;29;48;1;1.0;0.0;0.0;0.0;0.0;253.45892857142857;116.70928571428573;0.0;0.0;0.0;0.0;-0.8928571428571429;0.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;;;
11;1;30;40;1;1.0;0.0;0.0;0.0;0.0;709.9025;5.590357142857143;0.0;0.0;0.0;0.0;36.50321428571419;2.0;410.7142857142857;0.0;0.0;5.0;3.0;0.0;;;;;;
